Date,trfusd,trfusdvar,Value
7/6/2018,142640.2951,-22.92402581,132362.4608
7/5/2018,185064.5374,23.24482598,142640.2951
7/4/2018,150160.0866,40.75391265,185064.5374
7/3/2018,106682.7087,-24.09377753,150160.0866
7/2/2018,140545.4062,-13.87189802,106682.7087
7/1/2018,163181.8222,-2.168334723,140545.4062
6/30/2018,166798.5735,-15.48865073,163181.8222
6/29/2018,197368.2529,-2.270223287,166798.5735
6/28/2018,201953.0378,-5.445400866,197368.2529
6/27/2018,213583.5164,27.76371113,201953.0378
6/26/2018,167170.7205,-13.47051976,213583.5164
6/25/2018,193195.1054,-58.32336712,167170.7205
6/24/2018,463557.375,-6.354262118,193195.1054
6/23/2018,495011.717,-63.29046872,463557.375
6/22/2018,1348455.564,138.8257922,495011.717
6/21/2018,564618.9013,379.9554393,1348455.564
6/20/2018,117639.8588,-22.52517815,564618.9013
6/19/2018,151842.6968,41.86981011,117639.8588
6/18/2018,107029.6046,-28.28148433,151842.6968
6/17/2018,149235.6661,-19.86525386,107029.6046
6/16/2018,186230.909,-21.18780237,149235.6661
6/15/2018,236297.0638,65.05688595,186230.909
6/14/2018,143160.9851,-15.60396569,236297.0638
6/13/2018,169629.9906,49.87564047,143160.9851
6/12/2018,113180.4942,-20.0195298,169629.9906
6/11/2018,141510.1636,3.801440813,113180.4942
6/10/2018,136327.745,-14.07990024,141510.1636
6/9/2018,158668.0479,6.515282444,136327.745
6/8/2018,148962.7068,5.567775016,158668.0479
6/7/2018,141106.2294,-9.160818383,148962.7068
6/6/2018,155336.3063,31.7914208,141106.2294
6/5/2018,117865.2642,-5.29176157,155336.3063
6/4/2018,124450.9096,-18.93866947,117865.2642
6/3/2018,153526.8528,-5.359201647,124450.9096
6/2/2018,162220.5809,-3.075996235,153526.8528
6/1/2018,167368.8401,-21.65381901,162220.5809
5/31/2018,213627.3115,2.86866002,167368.8401
5/30/2018,207669.9662,44.87783813,213627.3115
5/29/2018,143341.4309,-13.29395002,207669.9662
5/28/2018,165318.834,-26.90303057,143341.4309
5/27/2018,226163.732,0.462874793,165318.834
5/26/2018,225121.7004,-3.327226449,226163.732
5/25/2018,232869.8062,9.530993848,225121.7004
5/24/2018,212606.3117,-18.96913972,232869.8062
5/23/2018,262376.9647,23.41754233,212606.3117
5/22/2018,212592.9262,-17.72968993,262376.9647
5/21/2018,258407.8339,-55.28944097,212592.9262
5/20/2018,577957.0632,31.89505184,258407.8339
5/19/2018,438194.6518,62.35682196,577957.0632
5/18/2018,269896.0515,-16.18886067,438194.6518
5/17/2018,322028.854,5.565466565,269896.0515
5/16/2018,305051.3245,49.76177065,322028.854
5/15/2018,203691.0509,-15.43055439,305051.3245
5/14/2018,240856.5522,-26.34304864,203691.0509
5/13/2018,326997.7209,34.50230782,240856.5522
5/12/2018,243116.8106,-14.57533912,326997.7209
5/11/2018,284597.923,-10.07599347,243116.8106
5/10/2018,316487.1472,-5.670282762,284597.923
5/9/2018,335511.6039,11.3733232,316487.1472
5/8/2018,301249.5221,-4.502834813,335511.6039
5/7/2018,315453.8897,-17.50560606,301249.5221
5/6/2018,382394.3357,0.684814803,315453.8897
5/5/2018,379793.4539,5.912381765,382394.3357
5/4/2018,358592.1188,24.42159521,379793.4539
5/3/2018,288207.2989,-15.2339414,358592.1188
5/2/2018,340003.1848,4.411399427,288207.2989
5/1/2018,325637.9923,-16.76041006,340003.1848
4/30/2018,391205.6662,-21.95377324,325637.9923
4/29/2018,501248.6605,-19.89756028,391205.6662
4/28/2018,625759.5427,-24.16686368,501248.6605
4/27/2018,825179.5627,32.02107068,625759.5427
4/26/2018,625036.2601,140.1426628,825179.5627
4/25/2018,260277.059,35.45825028,625036.2601
4/24/2018,192145.5936,-23.19601642,260277.059
4/23/2018,250176.5984,-2.629303691,192145.5936
4/22/2018,256932.1243,12.48019342,250176.5984
4/21/2018,228424.3265,10.49954793,256932.1243
4/20/2018,206719.6932,0.172782325,228424.3265
4/19/2018,206363.1342,-0.294242278,206719.6932
4/18/2018,206972.1337,2.096539173,206363.1342
4/17/2018,202721.9878,6.169047158,206972.1337
4/16/2018,190942.646,-33.49346612,202721.9878
4/15/2018,287103.5894,2.449059688,190942.646
4/14/2018,280240.3363,77.82082759,287103.5894
4/13/2018,157597.0262,1.00052681,280240.3363
4/12/2018,156035.8458,3.868084024,157597.0262
4/11/2018,150225.0159,1.852650107,156035.8458
4/10/2018,147492.496,-21.6277375,150225.0159
4/9/2018,188194.766,-17.47327627,147492.496
4/8/2018,228040.9999,36.55437991,188194.766
4/7/2018,166996.4743,-0.871953264,228040.9999
4/6/2018,168465.414,-9.533729676,166996.4743
4/5/2018,186219.0332,23.7218474,168465.414
4/4/2018,150514.2682,21.17871258,186219.0332
4/3/2018,124208.5057,-10.78649709,150514.2682
4/2/2018,139226.128,-21.48584619,124208.5057
4/1/2018,177326.1523,-9.107712645,139226.128
3/31/2018,195094.8287,1.72457414,177326.1523
3/30/2018,191787.3143,-11.48672961,195094.8287
3/29/2018,216676.3396,-2.050100846,191787.3143
3/28/2018,221211.3963,26.88459686,216676.3396
3/27/2018,174340.6227,-7.529545256,221211.3963
3/26/2018,188536.569,-17.34327343,174340.6227
3/25/2018,228095.8571,-5.330742137,188536.569
3/24/2018,240939.733,-13.20818104,228095.8571
3/23/2018,277606.5024,-1.558734049,240939.733
3/22/2018,282002.1662,8.911487416,277606.5024
3/21/2018,258927.844,25.08231873,282002.1662
3/20/2018,207005.9514,20.36122287,258927.844
3/19/2018,171987.2452,-32.0051361,207005.9514
3/18/2018,252941.5243,-17.41866054,171987.2452
3/17/2018,306293.8018,1.443380326,252941.5243
3/16/2018,301935.721,-45.64351442,306293.8018
3/15/2018,555473.2206,80.74168875,301935.721
3/14/2018,307329.883,-20.5152561,555473.2206
3/13/2018,386652.6681,9.772876549,307329.883
3/12/2018,352229.6949,11.21013346,386652.6681
3/11/2018,316724.4602,-5.727452327,352229.6949
3/10/2018,335966.7984,-4.687548201,316724.4602
3/9/2018,352489.9339,-12.05820412,335966.7984
