date,open,close,volume,pricevar,classes,,prevopen,prevclose,logprevvol,prevpricevar,prevclasses,classes,
7-Jul-18,6668.71,6856.93,"3,961,080,064",2.822434924,5,,6638.69,6673.5,22.1851221,0.524350437,4,5,
8-Jul-18,6857.8,6773.88,"3,386,210,048",-1.223716061,3,,6668.71,6856.93,22.09978257,2.822434924,5,3,
9-Jul-18,6775.08,6741.75,"3,718,129,920",-0.491949911,3,,6857.8,6773.88,21.94297715,-1.223716061,3,3,
10-Jul-18,6739.21,6329.95,"4,052,430,080",-6.072818624,1,,6775.08,6741.75,22.03648667,-0.491949911,3,1,
11-Jul-18,6330.77,6394.71,"3,644,859,904",1.009987727,4,,6739.21,6329.95,22.12258256,-6.072818624,1,4,
12-Jul-18,6396.78,6228.81,"3,770,170,112",-2.625852382,2,,6330.77,6394.71,22.01658377,1.009987727,4,2,
13-Jul-18,6235.03,6238.05,"3,805,400,064",0.048436014,4,,6396.78,6228.81,22.05038596,-2.625852382,2,4,
14-Jul-18,6247.5,6276.12,"2,923,670,016",0.458103241,4,,6235.03,6238.05,22.05968696,0.048436014,4,4,
15-Jul-18,6272.7,6359.64,"3,285,459,968",1.386006026,4,,6247.5,6276.12,21.79610552,0.458103241,4,4,
16-Jul-18,6357.01,6741.75,"4,725,799,936",6.052216372,6,,6272.7,6359.64,21.9127725,1.386006026,4,6,
17-Jul-18,6739.65,7321.04,"5,961,950,208",8.626412351,6,,6357.01,6741.75,22.27630268,6.052216372,6,6,
18-Jul-18,7315.32,7370.78,"6,103,410,176",0.758134982,4,,6739.65,7321.04,22.50866348,8.626412351,6,4,
19-Jul-18,7378.2,7466.86,"5,111,629,824",1.201648098,4,,7315.32,7370.78,22.5321135,0.758134982,4,4,
20-Jul-18,7467.4,7354.13,"4,936,869,888",-1.516859951,2,,7378.2,7466.86,22.35478414,1.201648098,4,2,
21-Jul-18,7352.72,7419.29,"3,726,609,920",0.905379234,4,,7467.4,7354.13,22.31999734,-1.516859951,2,4,
22-Jul-18,7417.8,7418.49,"3,695,460,096",0.009301949,4,,7352.72,7419.29,22.03876479,0.905379234,4,4,
23-Jul-18,7414.71,7711.11,"5,132,480,000",3.997459105,6,,7417.8,7418.49,22.0303709,0.009301949,4,6,
24-Jul-18,7716.51,8424.27,"7,277,689,856",9.172022067,6,,7414.71,7711.11,22.35885481,3.997459105,6,6,
25-Jul-18,8379.66,8181.39,"5,845,400,064",-2.366086452,2,,7716.51,8424.27,22.70807932,9.172022067,6,2,
26-Jul-18,8176.85,7951.58,"4,899,089,920",-2.754972881,2,,8379.66,8181.39,22.48892088,-2.366086452,2,2,
27-Jul-18,7950.4,8165.01,"5,195,879,936",2.699361038,5,,8176.85,7951.58,22.31231529,-2.754972881,2,5,
28-Jul-18,8169.06,8192.15,"3,988,750,080",0.28265186,4,,7950.4,8165.01,22.37113183,2.699361038,5,4,
29-Jul-18,8205.82,8218.46,"4,107,190,016",0.154037013,4,,8169.06,8192.15,22.10674376,0.28265186,4,4,
30-Jul-18,8221.58,8180.48,"5,551,400,000",-0.499903911,3,,8205.82,8218.46,22.13600494,0.154037013,4,3,
31-Jul-18,8181.2,7780.44,"5,287,530,000",-4.89854789,1,,8221.58,8180.48,22.43731599,-0.499903911,3,1,
1-Aug-18,7769.04,7624.91,"4,797,620,000",-1.855184167,2,,8181.2,7780.44,22.38861706,-4.89854789,1,2,
2-Aug-18,7634.19,7567.15,"4,214,110,000",-0.878154722,3,,7769.04,7624.91,22.2913858,-1.855184167,2,3,
3-Aug-18,7562.14,7434.39,"4,627,150,000",-1.689336616,2,,7634.19,7567.15,22.16170426,-0.878154722,3,2,
4-Aug-18,7438.67,7032.85,"4,268,390,000",-5.455545144,1,,7562.14,7434.39,22.25520696,-1.689336616,2,1,
5-Aug-18,7031.08,7068.48,"3,679,110,000",0.531923972,4,,7438.67,7032.85,22.17450254,-5.455545144,1,4,
6-Aug-18,7062.94,6951.8,"3,925,900,000",-1.573565682,2,,7031.08,7068.48,22.02593671,0.531923972,4,2,
7-Aug-18,6958.32,6753.12,"4,682,800,000",-2.948987687,2,,7062.94,6951.8,22.09086146,-1.573565682,2,2,
8-Aug-18,6746.85,6305.8,"5,064,430,000",-6.537124732,1,,6958.32,6753.12,22.26716206,-2.948987687,2,1,
9-Aug-18,6305.56,6568.23,"4,267,040,000",4.165688694,6,,6746.85,6305.8,22.34550743,-6.537124732,1,6,
10-Aug-18,6571.42,6184.71,"4,528,680,000",-5.884725067,1,,6305.56,6568.23,22.17418622,4.165688694,6,1,
