us13wdate,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
13-Jun-12,0.09,0.1,0.09,0.09,0.09
14-Jun-12,0.09,0.095,0.09,0.095,0.095
15-Jun-12,0.095,0.095,0.08,0.085,0.085
18-Jun-12,0.085,0.09,0.075,0.075,0.075
19-Jun-12,0.085,0.09,0.085,0.09,0.09
20-Jun-12,0.085,0.09,0.08,0.08,0.08
21-Jun-12,0.08,0.08,0.075,0.075,0.075
22-Jun-12,0.075,0.075,0.07,0.075,0.075
25-Jun-12,0.075,0.08,0.075,0.075,0.075
26-Jun-12,0.085,0.095,0.085,0.095,0.095
27-Jun-12,0.095,0.1,0.08,0.08,0.08
28-Jun-12,0.08,0.085,0.075,0.075,0.075
29-Jun-12,0.08,0.085,0.075,0.08,0.08
2-Jul-12,0.085,0.085,0.06,0.07,0.07
3-Jul-12,0.08,0.085,0.075,0.075,0.075
5-Jul-12,0.075,0.075,0.06,0.075,0.075
6-Jul-12,0.07,0.07,0.065,0.07,0.07
9-Jul-12,0.075,0.075,0.07,0.07,0.07
10-Jul-12,0.085,0.09,0.085,0.09,0.09
11-Jul-12,0.09,0.095,0.09,0.09,0.09
12-Jul-12,0.095,0.1,0.09,0.095,0.095
13-Jul-12,0.095,0.095,0.09,0.09,0.09
16-Jul-12,0.085,0.085,0.085,0.085,0.085
17-Jul-12,0.09,0.095,0.09,0.095,0.095
18-Jul-12,0.09,0.09,0.085,0.085,0.085
19-Jul-12,0.08,0.085,0.075,0.08,0.08
20-Jul-12,0.075,0.09,0.075,0.085,0.085
23-Jul-12,0.085,0.095,0.085,0.09,0.09
24-Jul-12,0.095,0.1,0.095,0.095,0.095
25-Jul-12,0.095,0.1,0.095,0.095,0.095
26-Jul-12,0.095,0.105,0.095,0.1,0.1
27-Jul-12,0.1,0.1,0.1,0.1,0.1
30-Jul-12,0.1,0.1,0.09,0.09,0.09
31-Jul-12,0.105,0.105,0.095,0.1,0.1
1-Aug-12,0.09,0.095,0.085,0.09,0.09
2-Aug-12,0.085,0.09,0.08,0.085,0.085
3-Aug-12,0.08,0.08,0.075,0.075,0.075
6-Aug-12,0.08,0.085,0.07,0.075,0.075
7-Aug-12,0.095,0.1,0.09,0.1,0.1
8-Aug-12,0.1,0.11,0.1,0.105,0.105
9-Aug-12,0.105,0.115,0.105,0.11,0.11
10-Aug-12,0.105,0.11,0.09,0.095,0.095
13-Aug-12,0.1,0.1,0.095,0.095,0.095
14-Aug-12,0.105,0.105,0.105,0.105,0.105
15-Aug-12,0.105,0.105,0.08,0.08,0.08
16-Aug-12,0.08,0.085,0.07,0.075,0.075
17-Aug-12,0.08,0.085,0.075,0.08,0.08
20-Aug-12,0.085,0.09,0.085,0.085,0.085
21-Aug-12,0.105,0.105,0.1,0.105,0.105
22-Aug-12,0.1,0.105,0.1,0.1,0.1
23-Aug-12,0.1,0.105,0.09,0.095,0.095
24-Aug-12,0.09,0.095,0.09,0.09,0.09
27-Aug-12,0.095,0.095,0.095,0.095,0.095
28-Aug-12,0.1,0.1,0.095,0.1,0.1
29-Aug-12,0.1,0.1,0.095,0.095,0.095
30-Aug-12,0.095,0.095,0.09,0.09,0.09
31-Aug-12,0.085,0.085,0.08,0.085,0.085
4-Sep-12,0.095,0.095,0.09,0.09,0.09
5-Sep-12,0.1,0.105,0.1,0.1,0.1
6-Sep-12,0.1,0.105,0.1,0.1,0.1
7-Sep-12,0.1,0.105,0.1,0.1,0.1
10-Sep-12,0.1,0.1,0.095,0.095,0.095
11-Sep-12,0.095,0.1,0.095,0.1,0.1
12-Sep-12,0.095,0.1,0.095,0.095,0.095
13-Sep-12,0.09,0.1,0.09,0.095,0.095
14-Sep-12,0.09,0.1,0.09,0.095,0.095
